Ticket_Number,Product_Code,Brand,CAT,BU,SKU_Name,Mapping_Status
6248455-20260507-180115,,Not Available,Not Available,Not Available,,Not Available
6248455-20260423-203759,,Not Available,Not Available,Not Available,,Not Available
6248455-20260406-135141,,Not Available,Not Available,Not Available,,Not Available
6248455-20260327-155847,,Not Available,Not Available,Not Available,,Not Available
6248455-20260327-160035,,Not Available,Not Available,Not Available,,Not Available
6248455-20260318-092645,,Not Available,Not Available,Not Available,,Not Available
6248455-20260310-153015,,Not Available,Not Available,Not Available,,Not Available
6248455-20260226-123440,,Not Available,Not Available,Not Available,,Not Available
6248455-20260213-091732,,Not Available,Not Available,Not Available,,Not Available
6248455-20260207-181711,,Not Available,Not Available,Not Available,,Not Available
6248455-20260103-071517,,Not Available,Not Available,Not Available,,Not Available
601517-20260509-103234,,Not Available,Not Available,Not Available,,Not Available
601517-20260428-094940,14378939,IN C&B : Nescafe Sunrise Small Packs,BEVERAGES,F&B,,Exact Product Code Match
601517-20260317-084229,12585176,IN NSB : Lactogen 3,INFANT NUTRITION,NN,,Exact Product Code Match
601517-20260303-081111,12601755,IN CUL : Sauces,CULINARY,F&B,,Exact Product Code Match
601517-20260203-221809,,Not Available,Not Available,Not Available,,Not Available
601526-20260417-105054,12531641,IN C&C : Kitkat,CHOCOLATE,F&B,NO OF,Exact Product Code Match
7276075-20260512-173736,,Not Available,Not Available,Not Available,,Not Available
7276075-20260512-174143,14102109,IN C&C : Milkybar,CHOCOLATE,F&B,PRODUCT DESCRIPTION MILKYBAR MOULD 16(24*24.5G)PR PUZZLE FR IN 8 BOXES HAS BEEN MISSED IN THIS,Exact Product Code Match
601532-20260323-175939,12630063,IN CUL : Noodles Cup,CULINARY,F&B,,Exact Product Code Match
3595640-20260612-153820,,Not Available,Not Available,Not Available,,Not Available
3595640-20260404-145727,19023010,Not Available,Not Available,Not Available,MRP - 87 MAGGI 2 MINN Mas 24*450g PR Rs 4 off IN - 4 CS Shortages,Not Available
7356847-20260105-112052,,Not Available,Not Available,Not Available,milky bar choo strawberry sbg 64(9*11g),Not Available
5660941-20260506-101104,14503947,IN CUL : Noodles Value Added,CULINARY,F&B,,Exact Product Code Match
7328904-20260221-130229,12458982,IN C&B : Nescafe Gold - Retail,BEVERAGES,F&B,Nescafe Gold Blend Int5 12X50g N1 IN No Of,Exact Product Code Match
601543-20260616-171947,12581886,IN CUL : Coconut Milk Powder - FS,NP,NP,,Exact Product Code Match
6217756-20260428-173738,,Not Available,Not Available,Not Available,,Not Available
7532371-20260228-153930,12531641,IN C&C : Kitkat,CHOCOLATE,F&B,Kit Kat 3F 18(28x28.5g) IN,Exact Product Code Match
5533884-20260619-205013,12606782,IN C&B : Nescafe Classic Large Packs,BEVERAGES,F&B,,Exact Product Code Match
5533884-20260616-103154,12601933,IN NSB : Cerelac 1,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260608-182750,12601933,IN NSB : Cerelac 1,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260520-203615,12579448,IN NSB : Lactogen 1,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260520-203615,12584920,IN SSD : Milkmaid SCM,DAIRY,F&B,,Exact Product Code Match
5533884-20260507-191824,12601933,IN NSB : Cerelac 1,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260501-205140,12601933,IN NSB : Cerelac 1,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260412-172312,12601932,IN NSB : Cerelac 1,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260404-192238,12616941,IN SSD : Nescafe RTD Cold Coffee,DAIRY,F&B,,Exact Product Code Match
5533884-20260402-205739,14033996,IN CUL : Masala-ae-Magic,CULINARY,F&B,,Exact Product Code Match
5533884-20260326-204214,12607948,IN NSB : Cerelac 2,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260216-224158,12610063,IN C&C : Polo,CONFECTIONARY,F&B,,Exact Product Code Match
5533884-20260216-224158,12562440,IN SSD : UHT Milk - Toned,DAIRY,F&B,,Exact Product Code Match
5533884-20260123-181745,12606197,IN C&B : Nescafe Classic Large Packs,BEVERAGES,F&B,,Exact Product Code Match
5533884-20260119-185425,12585137,IN NSB : Lactogen 4,INFANT NUTRITION,NN,,Exact Product Code Match
5533884-20260104-093957,12569989,IN CUL : MAGGI NDLS - KOREAN,CULINARY,F&B,,Exact Product Code Match
5533884-20260104-095319,12623305,IN CUL : MAGGI NDLS - KOREAN,CULINARY,F&B,,Exact Product Code Match
601632-20260506-105038,,Not Available,Not Available,Not Available,,Not Available
601632-20260325-110200,,Not Available,Not Available,Not Available,,Not Available
5802282-20260629-103647,,Not Available,Not Available,Not Available,,Not Available
5802282-20260626-131250,14356092,IN C&B : Nescafe Sunrise Large Packs,BEVERAGES,F&B,We are short of 36 pcs. Kindly dispatch the remaining 36 pcs immediately to avoid any production delay.,Exact Product Code Match
5802282-20260522-174147,,Not Available,Not Available,Not Available,MAGGI Ntr-lcs Atta 96*72.5G,Not Available
5802282-20260519-170505,12608551,IN CUL : Noodles,CULINARY,F&B,prooduct name:MAGGI 2-MINN Masala 12x600g N1 IN mrp116.00,Exact Product Code Match
601550-20260511-094958,,Not Available,Not Available,Not Available,,Not Available
5802282-20260501-103338,12559252,IN CUL : MAGGI NDLS - FLAVOURS,CULINARY,F&B,MAGGI 2-MIN Spicy Manchurian 24x244g IN,Exact Product Code Match
601550-20260429-150608,,Not Available,Not Available,Not Available,,Not Available
601550-20260423-145158,,Not Available,Not Available,Not Available,,Not Available
5802282-20260323-130548,12625864,IN NSB : Nestum 1,INFANT NUTRITION,NN,NESTUM STAGE 1 Rice BIB 24x300g N4 IN; MUNCH Cereal 216x19g PR MB Choo IN,Exact Product Code Match
5802282-20260323-130548,14118476,IN CPW : Munch Cereals,BREAKFAST CEREAL,NBC,NESTUM STAGE 1 Rice BIB 24x300g N4 IN; MUNCH Cereal 216x19g PR MB Choo IN,Exact Product Code Match
5802282-20260323-130633,13722293,IN CPW : Munch Choco Fills,BREAKFAST CEREAL,NBC,MUNCH Cereal Choco Fills 216x17g IN,Exact Product Code Match
5802282-20260323-130719,12609878,IN NSB : Cerelac 4,INFANT NUTRITION,NN,CERELAC STG 4 MU Fruit 24x300g WS IN,Exact Product Code Match
5802282-20260323-130835,12559252,IN CUL : MAGGI NDLS - FLAVOURS,CULINARY,F&B,MAGGI 2-MIN Spicy Manchurian 24x244g IN,Exact Product Code Match
5802282-20260306-103323,12609878,IN NSB : Cerelac 4,INFANT NUTRITION,NN,CERELAC STG 4 MU Fruit 24x300g WS IN,Exact Product Code Match
5802282-20260306-103951,12559252,IN CUL : MAGGI NDLS - FLAVOURS,CULINARY,F&B,MAGGI 2-MIN Spicy Manchurian 24x244g IN,Exact Product Code Match
5802282-20260303-132503,12625864,IN NSB : Nestum 1,INFANT NUTRITION,NN,NESTUM STAGE 1 Rice BIB 24x300g N4 IN; MUNCH Cereal 216x19g PR MB Choo IN,Exact Product Code Match
5802282-20260303-132503,14118476,IN CPW : Munch Cereals,BREAKFAST CEREAL,NBC,NESTUM STAGE 1 Rice BIB 24x300g N4 IN; MUNCH Cereal 216x19g PR MB Choo IN,Exact Product Code Match
